title,text,image_url,image_file
با جاذبه های گردشگری سمنان آشنا شوید,سمنان نه‌تنها شهری با آثار تاریخی و جاذبه‌های متنوع است، بلکه به‌دلیل موقعیت مکانی‌اش، دسترسی بسیار خوبی از طریق حمل‌ونقل ریلی دارد. بسیاری از مسافران ترجیح می‌دهند برای صرفه‌جویی در هزینه و لذت بردن از مسیر، بلیط قطار سمنان را تهیه کنند. ایستگاه راه‌آهن سمنان با دسترسی مناسب به مرکز شهر، تجربه سفری آرام و ایمن را برای مسافران فراهم کرده است. شکوه و زیبایی این شهر را با معرفی مکان های دیدنی سمنان به شما نشان خواهیم داد.,https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-13.jpg,images/image_1.jpg
دروازه ارگ سمنان | تماشای تاریخ و معماری,"شاید اگر صد‌ و‌ چند سال پیش، ناصرالدین‌شاه در سفرش به مشهد، شهر سمنان را برای توقف انتخاب نمی‌کرد، اکنون این بنای تاریخی وجود نداشت. شاه قاجار هنگام اقامت سه‌روزه در ارگ سمنان، دستور داد دروازه‌ای برای قسمت شمالی ارگ بسازند. این‌گونه بود که دروازه ارگ ساخته شد، تا امروز دوام آورد و یکی از مکان های دیدنی سمنان شد. اگر شما از تاریخ‌دوستان باشید، تماشای این دروازه باشکوه که جلوه‌ای از تاریخ ایران و معماری سنتی است، برای شما مسرت‌بخش خواهد بود.
نشانی: سمنان، تقاطع خیابان‌های طالقانی و شیخ فضل‌الله نوری، میدان ارگ مبلغ بلیت: رایگان",,
مسجد جامع سمنان | از آثار تاریخی و متفاوت شهر,"در اغلب شهرهای ایران، مسجد جامع آن شهر، قدمتی تاریخی دارد و از گزینه‌های دیدنی برای علاقه‌مندان به آثار تاریخی است. از جاذبه های گردشگری سمنان  نیز می‌توان به این مسجد که کهن‌ترین نماد معماری اسلامی شهر است، اشاره کرد.
مناره مسجد جامع که در دوره سلجوقیان به این مسجد افزوده شده است و به همین دلیل به مناره سلجوقی نیز شهرت دارد، قدبرافراشته‌ترین و خیره‌کننده‌ترین قسمتی است که چشم‌ها را تسخیر می‌کند. حال که به این شهر تاریخی قدم گذاشته‌اید، فرصت را از دست ندهید و شکوه معماری را در جای‌جای این مسجد کهن به تماشا بنشینید.
نشانی: سمنان، میدان امام‌ خمینی، خیابان امام‌ خمینی مبلغ بلیت: رایگان",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-2.jpg,images/image_3.jpg
مسجد امام | بازمانده‌ای از قاجار,"اگر پس از بازدید از مسجد جامع، هنوز هم در خیابان امام هستید، چشمانتان را برای تماشای شکوه مسجدی چهارایوانی آماده کنید. مسجد امام که به نام‌های مسجد سلطانی و مسجد شاه نیز شناخته می‌شود، یکی دیگر از جاهای دیدنی سمنان است؛ مسجدی که ساخته شد تا آبی باشد بر آتش بی‌رحمی‌های ذوالفقار خان، حاکم سمنان.
پس از مرگ این حاکم ستم‌پیشه، فتحعلی‌شاه برای کم‌رنگ‌کردن تلخی‌های دوران حکومت او، دستور ساخت این مسجد را داد. مقرنس‌کاری‌های گچی چشم‌نواز، جلوه‌های زیبای کاشی‌کاری‌ها و کتیبه‌های نقش‌بسته بر این بنا، مهیای میزبانی از نگاه جست‌وجوگر شما هستند.
نشانی: سمنان، ضلع جنوبی خیابان امام، روبه‌روی میدان تیرانداز مبلغ بلیت: رایگان",,
بازار سمنان | تجربه بازارگردی در فضایی سنتی,"جاذبه های گردشگری سمنان در خیابان امام باز هم ادامه دارد. این بار نیز یادگاری از دوران قاجار، میزبان شماست. بازاری با سقف‌های آجری و خشتی که معماری آن با شرایط اقلیمی این شهر کویری هماهنگی دارد. بازار سمنان یکی از بازارهای زیبای ایران محسوب می‌شود.
نشانی: سمنان، خیابان امام، خیابان شهدا مبلغ بلیت: رایگان",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-4.jpg,images/image_5.jpg
بازار شیخ علاءالدوله | محلی برای تردد مردگان!,"شیخ علاءالدوله سمنانی در دوره ایلخانی بازاری بنا کرد که سال‌هاست در زمره جاهای دیدنی سمنان قرار گرفته است. این بازار از جنوب‌شرقی خیابان امام آغاز می‌شود و تا گورستان پیرعلمدار که به گورستان سنادره نیز مشهور است، ادامه می‌یابد. جالب است بدانید علت شهرت این بازار به بازار مرده‌ها، از آنجاست که تشییع درگذشتگان به‌سوی گورستان سنادره از مسیر این بازار بوده است.
نشانی: سمنان، خیابان امام، خیابان شهدا مبلغ بلیت: رایگان",,
گرمابه پهنه | امانتدار تاریخ,"از دیگر جاهای دیدنی سمنان، حمام پهنه است که به‌ نام حمام حضرت نیز شناخته می‌شود. این گرمابه که بیش از ۵۰۰ سال از عمر بنای اولیه آن می‌گذرد، از موقوفات مسجد جامع سمنان است. سال‌هاست که این حمام به موزه مردم‌شناسی تبدیل شده است و بازدید از آن برای علاقه‌مندان به آثار تاریخی خالی از لطف نیست.
نشانی: سمنان، خیابان امام، بازار شیخ علاءالدوله، ضلع غربی تکیه پهنه ساعت بازدید: همه‌روزه به‌جز روزهای تعطیل سال. از ساعت ۸:۳۰ تا ۱۲ و ۱۶:۳۰ الی ۱۹٫ مبلغ بلیت ایرانی‌ها: ۳۰٫۰۰۰ ریال مبلغ بلیت اتباع خارجی: ۲۰۰٫۰۰۰ ریال",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-14.jpg,images/image_7.jpg
خانه تدین | میزبانی برای میراث,"نوبت به معرفی خانه‌های تاریخی می‌رسد که بخش مهمی از جاهای دیدنی سمنان را در بر می‌گیرند. خانه تدین که به خانه محمدیه نیز شهرت دارد، خانه‌ای بازمانده از عصر قاجار است که اگر لحظاتی دل به آن بسپارید، حس زندگی در آن دوران را تا حدودی تجربه می‌کنید. خانه‌ای که به میرزا عبدالله تدین، تاجر سرشناس سمنانی و دامادش، آقای محمدیه، متعلق بوده است.
سه در برای ورود به خانه تدین به روی شما باز است تا نگاهتان را با تماشای اندوخته‌های سالیان، غنی کنید. بخش تابستانی این خانه تاریخی، بادگیری دارد که به آن شکوه بیشتری بخشیده است. اکنون در این خانه، اداره میراث فرهنگی استان سمنان مستقر است و نمایشگاه هنرهای دستی و عکاس‌خانه در قسمت‌های گوناگون آن میزبان شما هستند.
نشانی: سمنان، خیابان طالقانی",,
خانه ترابی | تماشای شکوه شاه‌نشین,"در مسیر معرفی جاهای دیدنی سمنان به‌ سراغ خانه‌ای دیگر از دوره قاجار می‌رویم که مهم‌ترین بخش آن، اتاق پنج‌دری است که شاه‌نشین نیز خوانده می‌شود. از ویژگی‌های خاص خانه ترابی، وجود ساباط مقابل آن است که آن را به معبر کهنه‌دژ وصل می‌کند. ساباط (سابات) که در مناطق کویری و گرمسیری کاربرد داشته است، راهگذر مسقف بین دو خانه است.
نشانی: سمنان، محله کهنه‌دژ، پشت پاساژ شاه‌جویی، روبه‌روی حمام تاریخی قلی",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-15.jpg,images/image_9.jpg
خانه کلانتر | تماشای بادگیرهای زیبا,"اکنون قدم به خانه‌ای می‌گذارید که صمیمیت محیط آن، چشم‌انتظار شما است. این خانه تاریخی که به خانه رجبی نیز شهرت دارد، یکی از جاهای دیدنی سمنان است. خانه‌ای که به خانواده رجبی، کلانتر وقت سمنان، تعلق داشته و در دوران قاجار بنا شده است. بادگیرهای زیبای این خانه، موجب شده‌اند که عمارت بادگیر و برج بادگیر از نام‌های دیگر این خانه باشند. در حال حاضر، رستورانی بین‌المللی و سفره‌خانه‌ای سنتی در این خانه تاریخی مستقر هستند.
نشانی: سمنان، نبش میدان ابوذر، محله اسفنجان",https://www.flytoday.ir/blog/wp-content/uploads/2023/05/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%D8%B3%D9%85%D9%86%D8%A7%D9%86-6.jpg,images/image_10.jpg
