title,text,image_url,image_file
معرفی دیدنی‌ترین جاهای زاهدان برای گردشگری,,https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2021/01/WhatsApp-Image-2021-01-03-at-18.24.33-150x150.jpeg,images/image_1.jpg
زاهدان کجاست؟,"مگر می‌شود ایرانی باشید و ندانید زاهدان کجاست؟ زاهدان، شهری گرم و آفتابی در جنوب شرق ایران است که به‌عنوان مرکز استان سیستان و بلوچستان شناخته می‌شود. این شهر در نزدیکی مرزهای پاکستان و افغانستان قرار دارد و به‌خاطر تنوع فرهنگی، مردمانی مهمان‌نواز و بازارهای مرزی‌اش معروف است.
زاهدان نه‌تنها دروازه‌ای به فرهنگ و سنت‌های شرقی ایران محسوب می‌شود، بلکه به‌لطف مسیرهای جاده‌ای، ریلی و هوایی، دسترسی خوبی هم به سایر نقاط کشور دارد.",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/درک-زرآباد-چابهار-jpg-150x150.webp,images/image_2.webp
قلعه لادیز از قدیمی‌ترین جاهای دیدنی زاهدان,در جنوب غربی میرجاوه-سیستان و بلوچستان روستایی تاریخی به اسم لادیز با دارا بودن یکی از قدیمی‌ترین آثار تاریخی به نام قلعه لادیز چشم انتظار حضور گرم شما عزیزان است. این قلعه با نام‌های دیگری از جمله قلعه ارباب‌ها، قلعه اربابی‌ها و قلعه تپه لادیز میان مردم بومی شناخته می‌شود.,,
,"قلعه لادیز به دلیل سکونت داشتن افرادی با نام فامیلی اربابی به قلعه اربابی معروف شد. زمان ساخت این مکان تاریخی به دوره اشکانیان برمی‌گردد که امروزه از آن بنای باشکوه تنها خرابه‌ای به یادگار مانده است. قلعه ارباب‌ها روی صخره‌های سنگی در حاشیه روستای لادیز بنا شد؛ پی این بنا از سنگ‌های بزرگ و دیوارهای خشتی بنا گردید و قرن‌ها همچنان روی پای خود استوار مانده است!
قلعه تپه لادیز از سه طرف به پرتگاه‌های کوچکی منتهی می‌شود. این قلعه جزو قلعه‌های دفاعی طبقه‌بندی شده به شمار می‌رفت. این قلعه از بناهای اسم‌ورسم‌دار آن روزگاران بوده که با جریان داشتن آب رودخانه در شمال قلعه زندگی در این روستا جریان داشت. قلعه تپه لادیز در تاریخ ۱۰ دی‌ماه سال ۱۳۸۱ در فهرست آثار ملی ایران به ثبت رسید.
آدرس قلعه لادیز زاهدان: استان سیستان و بلوچستان- میرجاوه- روستای لادیز",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2021/05/zahedan-museum-150x150.jpg,images/image_4.jpg
رودخانه لادیز؛ شنیدن صدای زندگی!,در ۱۰۰ کیلومتری زاهدان در همسایگی قلعه لادیز یکی از قدیمی‌ترین جاهای دیدنی زاهدان جای گرفته است. با صدای آب روان، سرسبزی و آرامشی از جنس طبیعت بی‌شک هیچ بهانه‌ای برای نرفتن به این روستای تاریخی پیدا نخواهید کرد. رفتن به رودخانه لادیز به ویژه در فصول بهار و پاییز بسیار تماشایی و لذت‌بخش است و از مکان‌های محبوب گردشگران ایرانی به شمار می‌رود.,,
,"به شما پیشنهاد می‌کنم کنار این رودخانه روی حصیر کمی دراز بکشید و در حالی که چشمان‌تان بسته است، صدای گوش‌نواز آب را با جان‌ودل گوش کنید. این موقع است که از پیشنهاد این ایده لذت‌بخش در دل‌تان از من تشکر خواهید کرد!
آدرس رودخانه لادیز زاهدان: استان سیستان و بلوچستان- شهرستان میرجاوه- دهکده لادیز",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2021/05/شاخص-1-150x150.jpg,images/image_6.jpg
مسجد زرنج؛ مسجد تاریخی بازمانده از دوره تمدن اسلامی,اگر می‌خواهید در تور زاهدان از مساجد قدیمی این شهر دیدن کنید، مسجد زرنج را در فهرست جاهای دیدنی زاهدان قرار دهید. جایی که به هیچ وجه نباید بازدید از آن را از دست داد. در قرن اول و دوم مسجد زرنج توسط عبدالرحمن بن سمره (حاکم قدیم عرب) برای آموزش مسائل مذهبی و ادبی احداث شد.,,
,"جالب است بدانید این مسجد از دیدنی های زاهدان درست روبه‌روی زندان شهر زرنج واقع شده است. مسجد زرنج دارای دو مناره بوده که یکی از آن‌ها با مس پوشیده شده است. حسن بصری عالمی وارسته مدتی در این مسجد به تعلیم و تدریس مشغول بود.
اگرچه قرن‌ها از ساخت و دوران اصیل آن روزها گذشته، ولی همچنان این مسجد از مساجد مهم ایران محسوب می‌شود و نزد مردم زاهدان از احترام، جایگاه و اهمیت ویژه‌ای برخوردار است.
هزینه بازدید از این جاذبه رایگان است.
آدرس مسجد زرنج زاهدان: استان سیستان و بلوچستان- زاهدان- بلوار بلوچستان",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2021/05/عکس-شاخص-150x150.jpg,images/image_8.jpg
تالاب هامون,آیا کسی است که آوازه مهم‌ترین تالاب بین‌المللی هامون به گوش‌اش نخورده باشد؟ اگر تا حالا نشنیده‌اید، اشکالی ندارد، حالا به اتفاق هم به تالاب هامون از دیدنی های زاهدان می‌رویم. این تالاب یکی از مهم‌ترین تالاب‌های دنیا به حساب می‌آید که مساحتی بالغ بر ۵۷۰۰ کیلومترمربع و دامنه عمقی ۱ تا ۵ متری (در ناحیه کویری شرق کشور عزیزمان) دارد! بله پس بی‌دلیل هم نبوده که لقب بزرگ‌ترین دریاچه آب شیرین در فلات ایران را از آن خود کرده است.,,
,"تالاب هامون از سه بخش هامون پوزک (سواران)، هامون صابری (سابوری) و هامون هیرمند تشکیل شده است. هامون در منطقه سیستان‌وبلوچستان در مرز میان کشور افغانستان و ایران قرار دارد. تالاب بزرگ هامون یکی از مهم‌ترین جاهای تاریخی زاهدان به شمار می‌رود. بد نیست بدانید سالانه گردشگران ایرانی و خارجی برای بازدید از تالاب هامون راهی سفر می‌شوند.
هزینه بازدید از این جاذبه رایگان است.
آدرس تالاب هامون زاهدان: استان سیستان و بلوچستان- زابل",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/08/1001-16-150x150.jpg,images/image_10.jpg
روستا و غار لادیز,"پیش‌تر در قسمت‌های قبل با برخی از جاهای دیدنی لادیز آشنا شدیم. حال قصد دارم روستای تاریخی لادیز از دیدنی های زاهدان را بهتر به شما معرفی کنم، پس همراه من باشید. همان‌طور که در جریان هستید، روستای لادیز از قدمت بالایی برخوردار بوده، پس طبیعی است جاذبه‌های تاریخی ارزشمندی در قلب این روستا وجود داشته باشد.
از بحث قدمت زیاد روستا که بگذریم، از طبیعت و چشم‌اندازهای زیبای لادیز نمی‌توانیم چشم‌پوشی کنیم.
اگر قصد دارید به روستای گردشگری لادیز بروید، پیشنهاد می‌کنم به دلیل گرمای هوای استان سیستان‌وبلوچستان در تابستان به آن سفر نکنید. در عوض در فصل پاییز، زمستان و اوایل بهار که زاهدان بهترین شرایط جوی را دارد، به این شهر سفر کنید. پس از ورود به این روستا ظاهر خانه‌ها که اکثرا با خشت‌وگل و چوب بنا شده‌اند، نظرتان را جلب می‌کند.",,
,"غار لادیز از دیدنی‌های روستای لادیز است. غاری که محال ممکن است گردشگران بعد از ورود به این روستا از آن دیدن نکنند. فرقی نمی‌کند تابستان باشد یا زمستان، در همه‌ فصول سال از سقف و اطراف غار لادیز، قطرات درشت آب روی جریان آب غار می‌چکد.
با چکیدن هر قطره آب، انعکاس صدای قطرات آب در غار لادیز پخش می‌شود و بی‌تردید صدایی گوش‌نواز و یک تجربه هیجان‌انگیز به شما القا می‌کند.
آدرس روستای لادیز: استان سیستان و بلوچستان- ۱۰۰ کیلومتری از زاهدان- ۲۵ کیلومتری شهرستان میرجاوه- روستای لادیز",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2021/05/عکس-اصلی-150x150.jpg,images/image_12.jpg
خانه ابویی از جاهای دیدنی زاهدان,"یکی از زیباترین عمارت‌های تاریخی که بازدید از آن خالی از لطف نیست، خانه ابویی است. در سال ۱۳۱۱ خورشیدی عملیات ساخت این خانه به یکی از مشهورترین معمارهای یزدی، استاد محمودی داده شد. خانه ابویی آن‌قدر زیبا و باشکوه ساخته شد که حتی با گذشت سال‌ها، هنوز که هنوز است حوضخ‌انه‌ها و بادگیرهای عمارت ابویی تماشایی هستند.
این عمارت در حال حاضر توسط سازمان میراث فرهنگی، صنایع دستی و گردشگری زاهدان مرمت و بازسازی شده و به کارگاه هنرهای بومی و سنتی زاهدان تغییر کاربری داده است. خانه ابویی در سال ۱۳۷۷ در فهرست آثار ملی ایران به ثبت رسید.
آدرس خانه ابویی زاهدان: استان سیستان و بلوچستان- زاهدان- خیابان شریعتی",https://www.alibaba.ir/mag/wp-content/uploads/2021/05/ت7-3.jpg,images/image_13.jpg
کاروانسرای نصرت آباد؛ محلی پرجنب‌وجوش در دوره قاجار,"جاهای دیدنی زاهدان فقط محدود به چند مورد نمی‌شود. در دامنه‌های جنوبی کویر لوت درست در ۴ کیلومتری شمال غرب زاهدان، روستای نصرت آباد قرار گرفته که از کارانسرای معروف نصرت میزبانی می‌کند. این کاروانسرای بزرگ در دوره قاجاریه با معماری ساده از خشت‌وگل بنا و سازه آن از دوران صفوی الهام گرفته شد؛ کاروانسرای نصرت آباد دارای ۶۰ حجره بوده و در هر ضلع ۱۵ اتاق و ۲۳ طاق‌نما قرار گرفته‌اند.
این کاروانسرا ۴ ایوان داشته و قرینه‌سازی به خوبی در ساخت آن رعایت شده است. اکنون این کاروانسرای قدیمی سال‌ها به حال خودش رها شده و از آن هیچ مواظبتی به عمل نمی‌آید. این آثار ملی تاریخی در سال ۱۳۸۲ در فهرست آثار ملی ایران قرار گرفت.
بازدید از این جاذبه رایگان است.
آدرس کاروانسرای نصرت آباد زاهدان: استان سیستان و بلوچستان- زاهدان- ۴ کیلومتری شمال غرب نصرت آباد",https://www.alibaba.ir/mag/wp-content/uploads/2021/05/ت8-3.jpg,images/image_14.jpg
مسجد شاه علی از مهم‌ترین جاهای دیدنی زاهدان,"یکی دیگر از مساجد تاریخی زاهدان به اسم مسجد شاه علی است؛ پس بدون معطلی به این مسجد می‌رویم. با رفتن به این مسجد در باکلاس ترین منطقه زاهدان می‌توانید به سال ۸۴۷ هجری برگردید، زمانی که دستور ساخت مسجد شاه علی به حاکم وقت زاهدان داده شد.
همان‌طور که چشم‌تان نظاره گر فضای معنوی و معماری مسجد است، وجود دو کتبه سنگی روی دیوار توجه شما را جلب خواهد کرد. اگر به این دو لوح نزدیک شوید، متنی حکاکی شده روی آن‌ها می‌بینید که قدمت‌شان به قرن نهم هجری برمی‌گردد.
اگر بخواهم معماری این مسجد را دقیق‌تر برای شما همراهان شرح دهم، باید بگویم مسجد شاه علی به کاشی‌کاری سنتی مزین شده که رنگ آبی آن حس شگفت‌انگیزی به بیننده منتقل می‌کند. دو مناره بلند و طاق بزرگ مسجد همچنان به شکل اولیه‌اش حفظ شده و با گذر زمان چیزی از ابهت مسجد شاه علی کم نشده است.
این محل یکی از مساجد مهم و تاریخی زاهدان به حساب می‌آید که هر ساله گردشگران بسیاری را به چشم خود دیده و از زمان‌های گذشته تا به حال پذیرای عاشقان دینی- مذهبی بوده است.
هزینه بازدید از این جاذبه رایگان است.
آدرس مسجد شاه علی زاهدان: استان سیستان و بلوچستان- زاهدان- خیابان انقلاب",https://www.alibaba.ir/mag/wp-content/uploads/2021/05/ت9-4.jpg,images/image_15.jpg
روستای تمین؛ نگین سبز زاهدان,"همه‌ ما عاشق طبیعت و هوای پاکیزه هستیم، پس تعجبی ندارد که چرا روستای تمین زاهدان محبوب گردشگران این منطقه است. روستای تمین یکی از زیباترین روستاهای ایران محسوب می‌شود. این روستا به معنای واقعی همه چیز تمام است، می‌پرسید چرا؟ وجود جاذبه‌های بکروباصفا و تاریخی در جای‌جای روستا، تمین را منطقه‌ای توریستی تبدیل کرده است.
روستای تمین، روستایی خوش آب‌وهوا است که زمستان‌های سرد و تابستان‌های خنکی دارد. شاید خنک بودن این روستا در فصل تابستان برای شما کمی غیرقابل باور باشد که دلیل آن واقع شدن تمین در دامنه‌ای کوهستانی و وجود چشمه‌سارهای زیادی است.
از مهم‌ترین جاذبه‌های دیدنی این دهکده که حتما باید از آن‌ها دیدن کنید، چله خانه، چشمه آب معدنی موسی، قلعه تمین، قبرستان تمین و آسیاب آبی هستند.
آدرس روستای تمین زاهدان: استان سیستان و بلوچستان- زاهدان- ۶۵ کیلومتری جنوب غرب میرجاوه",https://www.alibaba.ir/mag/wp-content/uploads/2021/05/ت10-3.jpg,images/image_16.jpg
چشمه آب معدنی موسی,"جالب است بدانید چشمه‌های بسیاری در استان سیستان و بلوچستان به ویژه در دهکده تمین وجود دارد که یکی از این چشمه‌ها در روستای تمین جای گرفته است. چشمه موسی به دلیل گردشگرپذیری و خاصیت آب درمانی‌اش از محبوب‌ترین جاهای دیدنی زاهدان حساب می‌شود.
چشمه آب معدنی موسی از دل صخره‌ای عظیم می‌جوشد که باعث خلق چشم‌اندازی بکر و دیدنی شده است. آب این چشمه دارای خواص درمانی برای بیماری‌های مفصلی و پوستی است. همان‌طور که گفته شد، هوای این روستا در تابستان مطبوع است، پس تعجب نکنید هنگامی که دل به آب زدید، آب این چشمه خنک باشد.
احتمالا این سوال برایتان پیش آمده باشید که چرا در این منطقه چشمه‌های آب زیاد است؟ به لطف وجود قله تفتان در بخش جنوبی روستا، این همه چشمه در جای‌جای روستا سر از زمین برآورده‌اند.
بازدید از این جاذبه رایگان است.
آدرس چشمه آب معدنی موسی زاهدان: سیستان و بلوچستان- زاهدان- ۶۵ کیلومتری جنوب غربی میرجاوه- دهکده تمین",,
آرامگاه هفتاد ملا از شگفت‌انگیزترین قبرستان‌ها,"قبرستان ۸۰۰ ساله‌ هفتاد ملا یکی از عجیب‌ترین آرامگاه‌های ایران به حساب می‌آید. این آرامگاه در دل صخره‌ها به وجود آمده و مردم آن دوره با قلم‌وچکش بزرگ اقدام به ساخت این آرامگاه کردند. معماری قبرها از سبک آرامگاه کوروش بزرگ الهام گرفته شده استو این معماری قبرستان هفتاد ملا را منحصربه‌فرد و دیدنی کرده است.
مساحت این قبرستان بیش از ۵۰۰ مترمربع بوده که با ظاهر کمانی در قسمت شرقی روستای روپس آرام گرفته است. به دلیل موقعیت خاص آرامگاه هفتاد ملا، قبرها در فضای صخره‌ای قرار گرفته‌اند. به این ترتیب از گزند بادوباران در امان مانده‌ و خوشبختانه تخریب نشده‌اند.
در بازدید از قبرها، توجه شما به وجود حفره‌هایی روی سنگ‌ها جلب می‌شود! روی هر یک از قبرها ۸ سوراخ تعبیه شده که جریان هوا به داخل آن‌ها عبور می‌کند. قبرستان هفتاد ملا از جاهای دیدنی زاهدان به عنوان یکی از آثار ملی ایران در سال ۱۳۸۰ به ثبت رسیده است.
هزینه بازدید از این جاذبه رایگان است.
آدرس آرامگاه هفتاد ملا زاهدان: استان سیستان و بلوچستان- شهرستان میرجاوه- منطقه لادیز- روستای روپس",https://www.alibaba.ir/mag/wp-content/uploads/2021/05/ت11-2.jpg,images/image_18.jpg
بازار رسولی زاهدان,"بازار رسولی که به چهار راه رسولی شناخته می‌شود، در مرکز شهر زاهدان واقع شده است. مگر می‌شود به دیاری سفر کنید و از آن شهر سوغاتی یا خریدی به یادگار با خودتان نبرید! در نگاه اول به این بازار از ازدجام جمعیت دو طرف خیابان متوجه می‌شوید که همواره به عنوان یکی از شلوغ‌ترین جاهای دیدنی زاهدان از آن یاد می‌شود.
در کوچه‌پس‌کوچه‌های بازار رسولی انواع سوغات محلی و معروف این استان وجود دارد؛ از ادویه، چای، کالاهای هندی و پاکستانی گرفته تا انواع میوه‌های استوایی در بازار رسولی به چشم می‌خورد. شک ندارم با رفتن به این بازار دست خالی برنمی‌گردید!
آدرس بازار رسولی زاهدان: زاهدان- تقاطع جامی و مولوی حسین بر",https://www.alibaba.ir/mag/wp-content/uploads/2021/05/ت12-1.jpg,images/image_19.jpg
موزه بزرگ زاهدان؛ مروارید جنوب شرق ایران,"حقیقتش را بخواهید موزه بزرگ زاهدان هیچ چیز از زیبایی کم ندارد. کافی است یک بار به این موزه در باکلاس ترین منطقه زاهدان بروید تا معماری مدرن و خاص موزه بزرگ زاهدان شما را شیفته‌ زیبایی و دنیای پرهنرش کند. این مجموعه گران‌قدر حکایتی ۵ هزار ساله از مردمان خونگرم بلوچستانی در خود پنهان کرده که برای دیدن آن‌ها باید از سامانه علی بابا بلیط تهیه کرده و راهی سفر شوید.
باید رفت تا آثاری از یافته‌های باستان‌شناسی کرمان، خراسان جنوبی و سیستان و بلوچستان را از نزدیک دید. موزه زاهدان با هزار مترمربع زیربنا در ۵ طبقه ساخته شده است. می‌رسیم به جذاب‌ترین قسمت، یعنی معماری موزه! طراحی موزه بزرگ زاهدان از معماری قلعه سب دژی الهام گرفته شده که از نظر من همان مروارید درخشنده زاهدان است.
آدرس موزه بزرگ زاهدان: استان سیستان و بلوچستان- زاهدان- تقاطع خیابان آیت‌الله مطهری و امداد",https://www.alibaba.ir/mag/wp-content/uploads/2021/05/ت13-1.jpg,images/image_20.jpg
خانقاه زاهدان,"خانگاه در لغت به معنای عبادتگاه است؛ این مکان محل زندگی، آموزش و بسیاری از گردهم‌آیی درویشان بود. دستور ساخت خانگاه زاهدان در دوره‌ی پهلوی اول صادر شد و به یک از مهم‌ترین عبادتگاه‌هان آن دوره به شمار می‌رفت.
معماری این خانقاه ساده و طراحی آن از دوره اسلامی الهام گرفته شده و نمای این مکان با آجربندی و به کار رفتن کاشی‌کاری زینت یافته است.
هزینه بازدید از این جاذبه رایگان است.
آدرس خانقاه زاهدان: استان سیستان و بلوچستان- زاهدان- بلوار جام جم",https://www.alibaba.ir/mag/wp-content/uploads/2021/05/ت14-1.jpg,images/image_21.jpg
