title,text,image_url,image_file
بهترین جاهای دیدنی شیراز کجاست؟,شیراز از زیباترین و پرجاذبه‌ترین شهرهای ایران است که در دوره‌های مختلف تاریخ اهمیت ویژه‌ای داشته و حتی مدتی پایتخت کشور بوده است. همین پیشینه ارزشمند سبب شده آثار تاریخی و فرهنگی بی‌نظیری در آن باقی بماند. در ادامه با برترین جاهای دیدنی شهر شیراز آشنا می‌شوید.,,
مسجد نصیرالملک | مسجد نور و رنگ,"مسجد نصیرالملک از قدیمی‌ترین و مشهورترین جاهای دیدنی شیراز است که در نزدیکی شاهچراغ قرار دارد. این مسجد به دلیل شیشه‌های رنگی به «مسجد صورتی ایران» شهرت یافته و از نظر کاشی‌کاری یکی از ارزشمندترین مساجد کشور محسوب می‌شود.
سردر اصلی مسجد با کاشی‌های هفت‌رنگ و طرح گل تزئین شده و کتیبه‌ای با شعر شوریده شیرازی بر بالای آن دیده می‌شود. پس از ورودی، راهرویی مزین به کاشی و اشعار سعدی قرار دارد که به حیاط چهارگوش و بزرگ مسجد می‌رسد. در میانه حیاط حوضی سنگی قرار دارد و اطراف آن دو ایوان شمالی و جنوبی دیده می‌شود؛ ایوان شمالی با طاق بلند و تزئینات کاشی‌کاری، جلوه‌ای ویژه دارد.
مسجد نصیرالملک شیراز دارای دو شبستان شرقی و غربی است. شبستان غربی با ستون‌های سنگی و شیشه‌های رنگی از زیباترین بخش‌های بنا به شمار می‌آید و در هنگام تابش نور، فضایی چشمگیر و تماشایی ایجاد می‌کند.
ساعت بازدید: ۰۷:۰۰ تا ۱۷:۰۰
آدرس: شیراز، خیابان لطفعـلی خان زند، محله گودعربان، انتهای کوچه نصیرالملک
آدرس مسجد نصیرالملک روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D9%85%D8%B3%D8%AC%D8%AF-%D9%86%D8%B5%DB%8C%D8%B1%D8%A7%D9%84%D9%85%D9%84%DA%A9.jpg,images/image_2.jpg
مجموعه زندیه شیراز | هویت فرهنگی شیراز,"مجموعه زندیه شیراز مجموعه‌ای از بناها و آثار ارزشمند است که به نوعی هویت فرهنگی شیراز را نمایش می‌دهد و در برنامه‌ریزی برای شیراز گردی نباید بازدید از آن را فراموش کنید. ارگ کریم‌خان زند، بازار وکیل، عمارت کلاه فرنگی یا موزه پارس، حمام وکیل، مسجد وکیل و آب‌انبار وکیل بناهای موجود در این مجموعه هستند که از لحاظ معماری و هنری اهمیت زیادی دارند. در ادامه به معرفی این بناها می‌پردازیم:
بنای باشکوه ارگ کریمخانی مهم‌ترین و بزرگ‌ترین سازه دوره‌ زندیه است که در سال ۱۱۸۰ هجری قمری توسط کریم‌خان زند بنا نهاده شد. این ارگ یکی از خاص‌ترین جاذبه های گردشگری شیراز محسوب می‌شود. ارگ کریم خانی در دوره زندیه محل زندگی کریم خان زند به همراه خاندان سلطنتی بود، در دوران قاجاریه نیز فرمانداران محلی در آن زندگی می‌کردند و نهایتا در زمان پهلوی از این مکان به عنوان زندان استفاده می‌شد.
ارگ که مساحتی حدود ۴ هزار مترمربع دارد، در زمینی به اندازه ۱۲۸۰۰ متر مربع ساخته شده است. این بنا دارای چهار برج آجری بوده که ارتفاع برج‌ها از دیوار اصلی بیشتر است. اگر به برج‌های اطراف ارگ دقت کنید پی خواهید برد که یکی از برج‌ها مقداری کج شده و دلیل آن به نشست زمین در طول سالیان قبل برمی‌گردد.
ساعت بازدید: ۰۸:۰۰ تا ۲۰:۰۰
آدرس: شیراز، خیابان کریم‌خان زند، نبش میدان شهدا
مسجد وکیل، مسجدی تاریخی متعلق به دوره زندیه است که به دستور کریم خان زند در زمینی به ابعاد ۸۶۶۰ در نزدیکی بازار وکیل ساخته شد. تزئینات این بنا بسیار متنوع و منحصر به فرد است و میناکاری‌ها، حجاری، کاشی‌کاری و خوشنویسی‌های آن چشم هر بیننده‌ای را به خود خیره می‌کند.
مسجد وکیل دو ایوان با دو شبستان جنوبی و شرقی دارد. شبستان جنوبی آن با ۴۸ ستون مارپیچ و یکپارچه، جذاب‌ترین قسمت مسجد وکیل محسوب می‌شود و از شاخصه‌های معماری ایرانی به شمار می‌رود. این مسجد زیبا به دلیل نوع ساخت و معماری چشم‌نوازش از جمله بناهای ارزشمند کشور محسوب می‌شود که در سال ۱۳۱۱ به عنوان یک آثار ملی ایران به ثبت رسیده است.
ساعت بازدید: ۰۸:۰۰ تا ۲۰:۰۰ (همه روزه به جز جمعه‌ها)
آدرس: شیراز، خیابان طالقانی، غرب بازار وکیل
یکی دیگر از یادگارهای دوران زندیه در شیراز، بازار وکیل است که از زیباترین بازارهای سرپوشیده ایران محسوب می‌شود. این بازار نیز همانند تمام بازارهای قدیمی ایران راسته‌ها و سراهای مختلف دارد که بر اساس نوع فعالیتی که در آن صورت می‌پذیرد، نامگذاری شده‌اند.
یکی از جذاب‌ترین بخش‌های بازار وکیل سرای مشیر است که در ضلع جنوبی بازار قرار دارد. وجود حجره‌هایی با معماری خاص و درب‌های چوبی قدیمی، حوض بزرگ وسط محوطه و درختان نارنج اطراف آن، زیبایی این سرا را دوچندان کرده است.
از دیگر قسمت‌های پرطرفدار بازار وکیل می‌توان به راسته عطاری‌ها، فرش فروشان و کاروانسرای فیل اشاره کرد که بسیار مورد توجه گردشگران واقع می‌شوند و محبوب ترین جاهای دیدنی ایران محسوب می شود.
اگر به دنبال خرید سوغاتی از شهر شیراز هستید، بازار وکیل یکی از ایده‌آل‌ترین گزینه‌ها برای خرید است. این بازار پنج ورودی در قسمت‌های مختلف و خیابان‌های زند، طالقانی و لطفعلی خان زند دارد و ورودی خیابان زند و شرق میدان شهرداری پرترددترین ورودی محسوب می‌شود.
ساعت بازدید: ۰۷:۳۰ تا ۲۲:۰۰ (همه روزه به جز جمعه‌ها)
آ درس: شیراز، خیابان زند، ضلع شرقی میدان شهرداری
یکی از پیشرفته‌ترین نمونه‌های معماری اصیل ایرانی را می‌توان در حمام وکیل شیراز مشاهده کرد. حمام وکیل در دوره زندیه به دستور کریم خان زند بنا شد و یکی از بزرگ‌ترین و مجهزترین حمام‌های ساخته شده در زمان خود بود.
این بنا به عنوان یکی از جاذبه های تاریخی شیراز، در طول سال‌های متمادی بارها تغییر کاربری داده و امروزه تبدیل به موزه‌ شده است. بازدیدکنندگان و گردشگران با دیدن این حمام می‌توانند در کنار لذت بردن از معماری جذاب بنا، با فرهنگ و تاریخ کهن ایران بیشتر آشنا شوند.
ساعت بازدید: ۰۹:۰۰ تا ۱۹:۴۵ (همه روزه به جز جمعه‌ها)
آدرس: شیراز، خیابان طالقانی، سمت غربی مسجد و بازار وکیل
سرای مشیر که به سرای گلشن نیز معروف است، یکی از بازارهای تاریخی و زیبای شیراز است که در دوران قاجار و به دستور میرزا ابوالحسن خان مشیرالملک ساخته شد. این سرا در کنار بازار وکیل، یکی از مراکز مهم خرید صنایع دستی و سوغات شیراز محسوب می‌شود. معماری سنتی، کاشی‌کاری‌های رنگارنگ، حوض زیبای مرکزی و حجره‌های منظم، این مکان را به یکی از جذاب‌ترین جاذبه‌های گردشگری شیراز تبدیل کرده است.
سرای مشیر به‌صورت یک حیاط مرکزی چهارگوش طراحی شده و در وسط آن یک حوض آب قرار دارد که در کنار درختان نارنج، فضایی دل‌نشین ایجاد کرده است. این مجموعه تاریخی در گذشته مرکز تجارت پارچه، فرش و صنایع‌دستی بوده و امروزه نیز همچنان به‌عنوان یک بازار فعال شناخته می‌شود. بازدید از سرای مشیر، فرصتی عالی برای خرید سوغات شیراز، عکاسی از معماری سنتی و لذت بردن از فضای تاریخی این سرا است.
ساعات بازدید: همه‌روزه به‌جز جمعه‌ها از ساعت ۹ صبح تا ۹ شب آدرس : شیراز، تقاطع خیابان لطفعلی‌خان زند و خیابان طالقانی، در مجاورت درب خروجی بازار وکیل
آب‌انبار وکیل یکی از مهم‌ترین آثار تاریخی دوره زندیه در شیراز است که به دستور کریم‌خان زند برای ذخیره و تامین آب آشامیدنی شهر ساخته شد. این آب‌ انبار، نمونه‌ای عالی از مهندسی ایرانی در دوران قدیم است که به کمک طراحی خاص خود، آب را در تمام فصول سال خنک و تمیز نگه می‌داشت.
این سازه دارای تالارهای زیرزمینی، مخزن عظیم، راه‌پله‌های سنگی و بادگیرهای تهویه‌کننده است که به حفظ کیفیت آب کمک می‌کردند. دیوارهای ضخیم و سقف‌های گنبدی‌شکل باعث می‌شد تا دمای داخل آب‌انبار حتی در تابستان نیز خنک باقی بماند. امروزه، این آب‌انبار به‌عنوان موزه آب مورد استفاده قرار گرفته و بازدیدکنندگان می‌توانند با سیستم‌های سنتی تامین آب در گذشته آشنا شوند.
ساعات بازدید: هر روز از ۸ صبح تا ۸ شب آدرس: شیراز، خیابان لطفعلی‌خان زند، ضلع غربی مسجد وکیل
موزه پارس شیراز یکی از قدیمی‌ترین بناهای این شهر است که در نزدیکی ارگ کریم خان و در باغ نظر قرار دارد. این عمارت هشت ضلعی یادگاری از دوران زندیه محسوب می‌شود و در دوره کریم خان زند محلی برای میزبانی از میهمانان خارجی و سفیران و مراسم‌ رسمی بوده است.
این موزه آثار ارزشمند متعلق به هزاره چهارم پیش از میلاد تا دوره معاصر همچون اشیای فلزی، ظروف سفالی، انواع مهرها و سکه‌‌ها و اسناد قدیمی را در خود جای داده است. از دیگر آثار شگفت‌انگیز این موزه می‌توان به قرآن‌ها و نسخه‌های خطی زیبا اشاره کرد.
یکی از قرآن‌های معروف که در این موزه قرار دارد «قرآن هفده من» است که در گذشته در اتاقک بالای دروازه قرآن شیراز نگهداری می‌شد. قدمت این نسخه‌ قرآن به اوایل سده نهم هجری قمری برمی‌گردد. باید بدانید که آرامگاه کریم خان زند هم در این مکان واقع شده است.
ساعت بازدید: ۰۸:۰۰ تا ۱۸:۰۰
آدرس: شیراز، میدان شهدا، خیابان زند
آدرس مجموعه زندیه روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D8%A7%D8%B1%DA%AF-%DA%A9%D8%B1%DB%8C%D9%85%D8%AE%D8%A7%D9%86%DB%8C.jpg,images/image_3.jpg
عمارت شاپوری | از زیباترین باغ‌ عمارت‌ های شیراز,"عمارت مجلل شاپوری، یکی از زیباترین باغ‌ عمارت‌ها و جاذبه های دیدنی شیراز محسوب می‌شود که یادگاری به جا مانده از دوره پهلوی اول به شمار آید. وجه تمایز این بنا از دیگر عمارت‌ها به سبک معماری تلفیقی ایرانی و اروپایی آن بازمی‌گردد. این عمارت در میان یک باغ زیبا قرار دارد و وجود حوضی زیبا در برابر عمارت، چشم‌اندازی منحصربه‌فرد را خلق کرده است.
عمارت شاپوری در سال ۱۳۷۹ در فهرست آثار ملی ایران به ثبت رسید و در حال حاضر در قالب کافی‌شاپ و رستوران از گردشگران و میهمانان این مجموعه پذیرایی می‌کند.
ساعت بازدید: ۰۹:۰۰ تا ۲۴:۰۰
آدرس : شیراز، خیابان کریم‌خان زند، خیابان انوری، تقاطع اهلی، باغ و عمارت شاپوری
آدرس عمارت شاپوری روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D8%B9%D9%85%D8%A7%D8%B1%D8%AA-%D8%B4%D8%A7%D9%BE%D9%88%D8%B1%DB%8C.jpg,images/image_4.jpg
مدرسه خان | از اولین مدارس شهر شیراز,"در لیست جاهای دیدنی شیراز جای معرفی مدرسه خان خالی است. این مدرسه جزو اولین مدارس شهر شیراز است که در زمان شاه عباس صفوی در زمینی به وسعت ۵۰۰۰ مترمربع بنا شد. این مدرسه که یکی از مشهورترین بناهای علمی و جاذبه های تاریخی شهر شیراز به حساب می‌آید، زمانی محل تدریس ملاصدرا، یکی از معروف‌ترین و بزرگ‌ترین دانشمندان ایرانی بود.
در گوشه گوشه‌ این مدرسه هنر کاشی‌کاری ایرانی با نقوش گل و بوته‌های اسلیمی به چشم می‌خورد. در حیاط این مجموعه حوضی هشت ضلعی قرار دارد و وجود گل‌کاری‌های زیبا در باغچه‌های اطرافش روحی تازه به آن می‌بخشد.
جالب است بدانید در این مدرسه به هر محصل حجره‌ای مشخص به عنوان خوابگاه می‌دادند که محل اقامت وی در طول تحصیلش محسوب می‌شد. تعداد این حجره‌ها ۱۰۰ عدد بوده که متاسفانه امروزه تنها ۷۰ حجره باقی مانده است.
ساعت بازدید: ۰۷:۰۰ تا ۱۳:۳۰ – ۱۴:۳۰ تا ۱۹:۰۰
آدرس: شیراز، زیر گذر کریمخان زند، ۲۷، بازار روح الله، لطفعلی خان زند، بین ۴۵ و ۴۲",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D9%85%D8%AF%D8%B1%D8%B3%D9%87-%D8%AE%D8%A7%D9%86.jpg,images/image_5.jpg
آرامگاه خواجوی کرمانی | بزرگترین شاعر شهر کرمان,"کمال الدین ابولعطاء ملقب به خواجوی کرمانی، بزرگ‌ترین شاعر شهر کرمان و یکی از شاعران مشهور قرن هشتم هجری به حساب می‌آید. آرامگاه این شاعر کرمانی در محوطه‌ای باصفا مشرف به دروازه قرآن قرار دارد. اما، بر روی سنگ قبر این شاعر شیرین‌سخن، نامی از خواجوی کرمانی نوشته نشده است.
کمی بالاتر از آرامگاه، سه غار وجود دارد؛ یکی از غارها محل عبادت خواجوی کرمانی و مریدانش بوده است. غار دیگر در همان نزدیکی قرار دارد، در کنار آن نقش برجسته‌ای از رستم و شیر دیده می‌شود. این غار آرامگاه وزیر شاه شیخ ابو اسحاق اینجو، خواجه عمادالدین محمود است. بوستان زیبای خواجو هم در کنار آرامگاه قرار دارد و با چشم‌اندازی عالی به شهر شیراز، محلی مناسب برای گردش و وقت‌ گذراندن به شمار می‌رود.
ساعت بازدید: ۰۸:۰۰ تا ۲۴:۰۰
آدرس: شیراز، ابتدای جاده شیراز – اصفهان، تنگ الله اکبر، کنار دروازه قرآن
نقشه آرامگاه خواجوی کرمانی روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D8%A2%D8%B1%D8%A7%D9%85%DA%AF%D8%A7%D9%87-%D8%AE%D9%88%D8%A7%D8%AC%D9%88%DB%8C-%DA%A9%D8%B1%D9%85%D8%A7%D9%86%DB%8C.jpg,images/image_6.jpg
خانه زینت الملوک | از خانه‌های تاریخی و قاجاری شیراز,"خانه زینت‌الملوک، یکی از خانه‌های تاریخی و قاجاری شیراز به شمار می‌رود و محل سکونت زینت‌الملوک قوامی، دختر قوام‌الملک چهارم بوده است. ساخت این خانه به دستور علی محمدخان قوام‌الملک دوم در سال ۱۲۹۰ آغاز شد و در سال ۱۳۰۲ به اتمام رسید.
این خانه با یک راه زیرزمینی به باغ نارنجستان قوام وصل می‌شود؛ به عبارتی در گذشته این خانه، محرم‌خانه و اندرونی باغ نارنجستان قوام محسوب می‌شده است. معماری بی‌نظیر بنا با وجود سقف چوبی، آینه‌کاری و گچ‌بری‌های ظریف، تصاویر گل و بوته، پرندگان و حیوانات نقاشی شده در جای جای خانه، چشم بازدیدکنندگان را به خود جلب می‌کند.
زیرزمین وسیع این خانه امروزه تبدیل به یک نگارخانه شده که در آن مجسمه‌های اکثر شخصیت‌های برجسته و معروف شیراز را برای بازدید گردشگران قرار داده‌اند. نام این بنای تاریخی در سال ۱۳۵۱ در فهرست آثار ملی ایران به ثبت رسید.
ساعت بازدید: ۰۸:۰۰ تا ۱۹:۰۰
آدرس: شیراز، خیابان لطفعلی خان زند، ضلع غربی نارنجستان قوام
آدرس خانه زینت‌الملوک روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D8%AE%D8%A7%D9%86%D9%87-%D8%B2%DB%8C%D9%86%D8%AA-%D8%A7%D9%84%D9%85%D9%84%D9%88%DA%A9.jpg,images/image_7.jpg
نارنجستان قوام | از بهترین جاهای دیدنی شیراز در بهار,"باغ نارنجستان که به باغ قوام نیز معروف است یکی از زیباترین عمارت‌های به‌جامانده از دوره قاجار در شیراز به حساب می‌آید. مجموعه تاریخی قوام که به دستور علی‌محمدخان قوام ساخته شده، دارای دو قسمت بیرونی شامل باغ، موزه نارنجستان قوام و بخش اندرونی یا داخلی شامل خانه زینت‌الملوک است.
مجموعه قوام، مکانی برای دارالحکومه محلی برای انجام فعالیت‌های نظامی و سیاست حکومت وقت بود که در سال ۱۳۴۵ به دانشگاه شیراز واگذار شد.
ساختمان اصلی نارنجستان دارای دو طبقه و یک زیرزمین است. هنرهای بی‌نظیری مانند آینه‌کاری، گچ‌بری، منبت‌کاری، نقاشی‌های سنتی در و دیوار، حجاری و معرق‌ کاری‌ در گوشه گوشه‌ این عمارت زیبا همه را مات و مبهوت خود می‌کند.
زیرزمین این عمارت به عنوان موزه، اشیایی مانند ظروف قدیمی، سکه، کاشی‌کاری‌های اصیل و بسیاری دیگر را در معرض دید گردشگران و علاقمندان قرار داده است. همانگونه که از نام مجموعه پیداست، درختان فراوان نارنج در محوطه باغ وجود دارد و حس و حال دلنشینی به این بنا بخشیده‌اند.
ساعت بازدید: ۰۸:۰۰ تا ۲۱:۰۰
آدرس: شیراز، خیابان لطفعلی خان زند
آدرس باغ نارنجستان روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D9%86%D8%A7%D8%B1%D9%86%D8%AC%D8%B3%D8%AA%D8%A7%D9%86-%D9%82%D9%88%D8%A7%D9%85.jpg,images/image_8.jpg
آرامگاه سعدی | شاعر محبوب قرن هفتم,"از دیگر جاهای دیدنی شیراز سعدیه است که آرامگاه سعدی ، شاعر نامی ایران را در خود دارد. مشرف الدین مصلح بن عبدالله شیرازی متخلص به سعدی شیرازی، نویسنده و شاعر محبوب قرن هفتم هجری قمری بوده است. سعدیه در گذشته محلی برای عبادت سعدی و یارانش بوده و پس از مرگش، ایشان را در باغ باصفایی در همین منطقه به خاک سپردند جز محبوب ترین جاهای دیدنی ایران به حساب می آید.
بنای کنونی آرامگاه سعدی تلفیقی از معماری سنتی و مدرن است که ساخت آن به سال ۱۳۳۰ بازمی‌گردد. معماری آرامگاه به سبک ایرانی اصیل با هشت ستون از سنگ‌های قهوه‌ای است که بر روی آن گنبدی با کاشی‌های فیروزه‌ای قرار دارد.
بنای داخلی آرامگاه به صورت هشت ضلعی ساخته شده که در هفت گوشه‌ آن کتیبه‌های خطی با ابیاتی از گلستان، بوستان و قصاید شیخ سعدی به نمایش درآمده‌اند. در اطراف مقبره سعدی، آرامگاه عارف‌ها و شاعران زیادی همچون شوریده شیرازی قرار دارد.
یکی از جاهای دیدنی این مجموعه حوض ماهی است که در نزدیکی مزار سعدی قرار دارد. آب این حوض از چشمه زلالی که در زیر آن قرار دارد تامین می‌شود؛ بر اساس باوری قدیمی، آب حوضچه‌های آرامگاه خاصیت شفابخشی داشته است. امروزه بسیاری از بازدیدکنندگان آرامگاه برای برآورده شدن آرزوهایشان، سکه‌ای داخل حوضچه می‌اندازند.
ساعت بازدید: ۰۸:۰۰ تا ۲۰:۰۰
آدرس: شیراز، انتهای خیابان بوستان، کنار باغ دلگشا
آدرس آرامگاه سعدی روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D8%A2%D8%B1%D8%A7%D9%85%DA%AF%D8%A7%D9%87-%D8%B3%D8%B9%D8%AF%DB%8C.jpg,images/image_9.jpg
آرامگاه حافظ | تفالی به دیوان حافظ شیرازی,"یکی از معروف‌ترین جاذبه‌های دیدنی شیراز، آرامگاه خواجه شمس الدین محمد شیرازی ملقب به حافظ، غزل‌سرا  و شاعر بزرگ ایرانی است. طراحی منحصر به فرد حافظیه یکی از بهترین کارهای آندره گدار، معمار فرانسوی، به شمار می‌رود. آرامگاه حافظ یکی از جذابترین جاهای دیدنی شیراز در شب است.
دورتادور بنای اصلی آرامگاه حافظ هشت ستون خوش‌تراش دیده می‌شود که نمادی از قرن هشت، یعنی قرنی که حافظ در آن می‌زیسته، هستند. نمای داخلی گنبد آرامگاه، با کاشی‌کاری معرق با گره‌های هندسی اسلامی تزئین شده و نمای بیرونی گنبد، دارای ورقه‌های مسی است که زیبایی این مجموعه را دوچندان کرده‌اند.
این مجموعه دارای دو صحن شمالی و جنوبی است که توسط تالاری از هم جدا شده‌اند. تالار حافظیه با سبک ایرانی – اسلامی در دوره زندیه ساخته شده و با ۲۰ ستون سنگی به ارتفاع ۵ متر، جلوه خیره‌کننده‌ای دارد. محیط حافظیه در شب حال و هوای دیگری دارد و به همین دلیل هم بسیاری این مکان را یکی از جاهای دیدنی شبانه شیراز می‌دانند. نشستن در فضای آرام چایخانه سنتی و گرفتن فال حافظ در کنار مقبره ایشان حس و حال معنوی بی‌نظیری را به گردشگران هدیه می‌دهد.
ساعت بازدید: ۰۸:۰۰ تا ۲۱:۰۰
آدرس: شیراز، حدفاصل چهاراه ادبیات و چهارراه حافظیه، روبروی ورزشگاه حافظیه
آدرس آرامگاه حافظ روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/03/%D8%A2%D8%B1%D8%A7%D9%85%DA%AF%D8%A7%D9%87-%D8%AD%D8%A7%D9%81%D8%B8.jpg,images/image_10.jpg
